WKT,fid,Category,AreaKm2
"MULTIPOLYGON (((446230.9003 4601040.643,446250.0754 4601058.8594,446266.3743 4601057.9006,446306.6422 4601077.0757,446353.6212 4601102.9623,446382.384 4601100.0859,446391.9715 4601093.3748,446386.2189 4601056.9419,446376.6314 4601029.1379,446366.0851 4601014.7566,446365.1263 4600983.1176,446373.7552 4600958.1898,446366.0851 4600947.6437,446303.766 4600939.9735,446294.1783 4600986.9526,446284.5907 4601004.2102,446260.6219 4600996.5402,446241.4467 4601002.2927,446231.8591 4601032.973,446230.9003 4601040.643)))",21,3,0.0155
"MULTIPOLYGON (((464955.9567 4608213.6099,464958.5501 4608212.7453,464964.6013 4608203.2363,464974.6868 4608196.3206,464983.6196 4608181.3365,464979.5854 4608163.4711,464980.1617 4608149.6396,464975.5513 4608141.2831,464957.9738 4608143.012,464937.2267 4608143.8765,464926.565 4608139.266,464923.3953 4608138.4016,464908.9876 4608129.4687,464900.0547 4608123.4175,464887.0879 4608124.5701,464877.8669 4608122.8412,464877.8669 4608126.8753,464871.2394 4608131.4858,464862.3065 4608147.9107,464849.6277 4608178.455,464845.5935 4608215.3389,464849.9159 4608215.3389,464858.5606 4608212.169,464890.2576 4608213.0336,464914.7507 4608213.8979,464955.9567 4608213.6099)))",22,1,0.0095
"MULTIPOLYGON (((446327.7151 4594937.4914,446392.3743 4594867.0772,446296.2319 4594772.966,446260.6863 4594736.4048,446219.3856 4594695.4427,446200.428 4594669.7145,446189.9336 4594660.9127,446160.82 4594643.6477,446150.3256 4594637.2156,446139.3178 4594631.8011,446112.7274 4594629.1401,446143.8935 4594695.7813,446166.5417 4594739.5522,446203.655 4594794.2943,446230.5621 4594833.2632,446261.1806 4594872.2322,446295.5104 4594908.4177,446327.7151 4594937.4914)))",23,2,0.0274
"MULTIPOLYGON (((453341.7186 4598735.2144,453266.3589 4598681.7909,453218.9659 4598739.4525,453218.6068 4598739.8894,453225.7124 4598744.195,453178.3476 4598813.8546,453269.5971 4598837.8086,453284.9465 4598815.7572,453341.7186 4598735.2144)))",24,3,0.0131
"MULTIPOLYGON (((449940.6318 4602649.6016,449945.4881 4602642.9794,449917.2325 4602607.6598,449878.3811 4602578.5212,449830.2581 4602556.005,449785.2258 4602536.5793,449774.1885 4602539.2282,449748.5818 4602528.6324,449734.454 4602537.9036,449689.863 4602597.064,449702.6663 4602602.3619,449724.2995 4602642.5379,449737.9859 4602675.2083,449753.4382 4602688.8946,449778.6035 4602703.4641,449797.1461 4602710.9695,449816.1305 4602717.5918,449834.6731 4602715.8259,449853.2159 4602716.2674,449857.1894 4602723.7728,449858.0723 4602738.7835,449857.6309 4602748.938,449870.8756 4602756.4433,449881.0301 4602755.1188,449892.9504 4602744.0815,449907.0782 4602720.6824,449940.6318 4602649.6016)))",25,3,0.0327
"MULTIPOLYGON (((462090.3469 4606894.5886,462090.9232 4606887.3847,462094.9574 4606878.7402,462089.1942 4606872.1124,462033.0041 4606839.551,461999.2668 4606821.1271,461984.5931 4606846.7011,461980.6089 4606844.8039,461966.6977 4606883.9395,461996.4086 4606895.1648,462069.5997 4606923.4041,462077.6681 4606920.8105,462090.3469 4606894.5886)))",26,1,0.0071
"MULTIPOLYGON (((470910.1516 4608496.0309,470884.5994 4608528.8147,470875.4391 4608549.0636,470871.1001 4608564.4914,470863.3862 4608579.919,470844.1016 4608594.3826,470810.3534 4608613.6673,470776.4117 4608633.916,470763.3945 4608643.5585,470724.8253 4608662.361,470679.9884 4608680.6814,470634.1875 4608699.966,470614.7171 4608711.5369,470592.2432 4608727.4467,470572.1878 4608742.3924,470525.4225 4608783.3722,470497.9418 4608813.7457,470466.6043 4608855.2076,470443.5191 4608889.7779,470426.6297 4608917.9269,470419.9443 4608941.8536,470417.969 4608957.0026,470437.1516 4608966.0297,470472.1316 4608984.0839,470502.598 4608991.9826,470528.551 4608988.5975,470547.7336 4608951.3607,470574.8149 4608932.1781,470606.4097 4608924.2794,470608.6352 4608847.0117,470604.7783 4608820.9773,470648.1688 4608793.9788,470718.0756 4608772.2836,470782.1971 4608734.1963,470826.0698 4608720.215,470895.1649 4608718.1974,470924.4216 4608714.4296,470933.0997 4608708.162,470956.2413 4608707.6799,470969.2584 4608704.3051,470997.2212 4608688.8774,471036.7547 4608667.1822,471051.7004 4608661.8789,471106.6616 4608645.0048,471103.2868 4608636.8088,471093.1623 4608603.5428,471085.9267 4608581.8361,471080.0695 4608558.2265,471090.1032 4608551.1058,471097.4855 4608545.8668,471102.0119 4608538.3227,471105.7131 4608526.7791,471102.0735 4608512.2209,471065.369 4608496.9274,471052.4911 4608497.7496,471042.4287 4608507.6329,471040.3635 4608516.4979,471037.7188 4608527.8504,470982.7576 4608515.7975,470935.5102 4608504.2269,470924.4216 4608496.9951,470910.1516 4608496.0309)))",27,1,0.0985
"MULTIPOLYGON (((454319.6138 4600478.3956,454315.5392 4600483.7206,454279.8172 4600530.4054,454258.2638 4600554.8668,454255.9233 4600557.523,454243.2747 4600565.7149,454231.4509 4600577.5789,454224.9388 4600590.6029,454201.3952 4600618.655,454177.6337 4600659.2299,454158.0975 4600687.7828,454150.0828 4600717.8384,454151.5856 4600726.354,454185.8665 4600725.3522,454238.4638 4600736.3726,454260.5046 4600745.3893,454272.5268 4600749.8976,454283.5472 4600750.8994,454293.0649 4600748.8956,454311.5991 4600736.8736,454329.1315 4600724.8512,454342.6566 4600727.8568,454341.6547 4600739.8791,454382.7306 4600745.8902,454413.7881 4600748.3949,454499.9474 4600763.9235,454515.4761 4600760.417,454575.5873 4600775.4449,454646.5009 4600780.4541,454641.4917 4600743.8864,454628.9685 4600690.2874,454622.9574 4600664.2392,454616.9462 4600630.677,454616.9462 4600596.6142,454617.4471 4600546.5216,454617.4471 4600521.9761,454632.192 4600512.9594,454665.754 4600489.9168,454691.3013 4600474.388,454742.8967 4600453.3492,454791.8332 4600455.4956,454771.0827 4600421.4056,454735.4828 4600360.1239,454712.4329 4600317.3486,454686.0585 4600284.7684,454659.0192 4600252.8532,454635.0828 4600227.8086,454610.0505 4600197.4571,454582.8634 4600168.6939,454556.0704 4600138.7488,454528.0953 4600104.8634,454481.6014 4600045.7611,454462.1599 4600109.2126,454440.1192 4600167.3202,454414.071 4600232.9416,454408.5608 4600257.9879,454405.0544 4600313.0898,454402.0488 4600362.6815,454373.496 4600403.7575,454319.6138 4600478.3956)))",28,3,0.2159
"MULTIPOLYGON (((477274.4937 4615635.9444,477307.7453 4615568.9975,477278.1874 4615552.4559,477263.7731 4615544.1373,477252.5433 4615536.3834,477246.0462 4615529.2158,477165.3292 4615422.0107,477158.062 4615416.6911,477148.2361 4615412.9606,477137.6793 4615410.447,477129.3846 4615407.1794,477124.1062 4615402.9064,477118.9717 4615398.3636,477116.4796 4615393.6909,477113.6634 4615356.5674,477111.4954 4615328.896,477109.3148 4615304.9094,477109.9378 4615290.8913,477110.2493 4615283.7265,477113.053 4615276.8731,477115.992 4615268.6248,477137.3246 4615234.4925,477171.4385 4615191.1479,477187.4921 4615177.101,477217.2181 4615146.5765,477211.6171 4615142.6869,477196.9569 4615136.9363,477185.9192 4615132.8245,477162.3114 4615129.7663,477148.7064 4615132.5811,477137.9164 4615138.2108,477124.9384 4615142.0201,477111.8605 4615098.4271,477170.7657 4615076.4931,477168.7967 4614949.4877,477156.9061 4614943.0481,477142.5669 4614935.5798,477126.0398 4614923.2805,477127.1561 4614893.1402,477127.1561 4614782.6258,477123.8072 4614745.7876,477118.2256 4614715.6474,477104.83 4614679.9255,477097.0158 4614657.5994,477084.7364 4614637.5059,477062.4103 4614612.9471,477040.0841 4614598.4351,477022.2232 4614588.3884,476996.5482 4614583.9231,476983.1821 4614586.4628,476969.6402 4614591.8796,476957.7232 4614601.6298,476948.547 4614612.9471,476939.3061 4614622.7553,476933.3477 4614631.9639,476926.8475 4614648.2142,476921.9724 4614668.2564,476919.264 4614683.4234,476911.7088 4614688.856,476916.4266 4614796.8485,476922.4012 4614868.843,476929.9631 4614961.6116,476949.4812 4615210.7552,476958.6662 4615269.3097,476966.7031 4615326.7161,476987.3694 4615347.3824,477002.2951 4615368.0487,477009.3739 4615384.5059,477009.3739 4615405.1479,477013.1759 4615423.7353,477024.3861 4615446.9007,477062.8551 4615483.9623,477109.0734 4615529.2424,477148.9498 4615567.7113,477163.9621 4615580.3779,477178.3273 4615594.0027,477185.5174 4615602.0914,477192.7074 4615611.9777,477194.8045 4615615.5727,477197.5007 4615623.0623,477198.699 4615632.3494,477197.2011 4615636.244,477207.6866 4615645.5311,477226.2607 4615642.2356,477239.4424 4615639.839,477255.3204 4615637.1427,477274.4937 4615635.9444)))",29,1,0.1882
"MULTIPOLYGON (((478647.8109 4612606.9976,478684.2662 4612619.9249,478693.057 4612621.2178,478713.2237 4612625.6131,478739.3371 4612633.1109,478762.3478 4612638.282,478781.9975 4612647.5896,478797.5104 4612651.9849,478807.8525 4612652.2434,478814.5746 4612653.5363,478825.9508 4612661.0342,478828.5362 4612667.2394,478829.3119 4612676.0301,478832.6729 4612679.6497,478840.4295 4612686.1133,478883.0899 4612708.8656,478886.4511 4612714.0367,478897.0516 4612721.276,478929.8871 4612743.7697,478956.0005 4612765.4877,478997.6268 4612804.7871,479019.6034 4612816.4217,479025.55 4612817.9729,479027.3598 4612824.4367,479027.1013 4612830.3833,479035.892 4612839.6911,479057.6793 4612844.2674,479092.0662 4612839.8719,479130.59 4612833.9252,479179.9728 4612827.9788,479194.1927 4612827.9788,479216.1695 4612832.6326,479226.1836 4612838.6568,479246.8673 4612853.9111,479262.3803 4612868.3899,479269.0706 4612873.6871,479277.5539 4612868.9742,479277.5539 4612864.5755,479276.8589 4612858.5651,479277.3147 4612852.982,479276.7478 4612842.6803,479273.2393 4612830.9005,479267.2928 4612814.6118,479264.9861 4612808.3346,479257.4679 4612805.5627,479237.8182 4612797.0306,479181.4545 4612767.0391,479134.9161 4612742.994,479077.001 4612709.6413,479014.4325 4612673.9616,478949.7953 4612639.5747,478898.3442 4612612.1686,478845.0833 4612582.6941,478794.1492 4612555.0294,478725.117 4612517.0228,478690.2128 4612496.856,478672.6315 4612543.3946,478647.8109 4612606.9976)))",30,1,0.0628
"MULTIPOLYGON (((441168.6025 4591926.0555,441178.111 4591844.5546,441196.6751 4591851.7991,441205.7307 4591788.4092,441222.4836 4591790.6733,441234.2561 4591740.4145,441203.014 4591715.5114,441166.7914 4591708.7196,441148.2272 4591708.7196,441117.4381 4591740.8671,441106.5712 4591763.0537,441078.0458 4591819.6514,441071.2541 4591838.6683,441065.8207 4591856.7797,441059.4818 4591874.891,441056.3123 4591889.38,441098.8738 4591900.6997,441131.0215 4591906.5858,441148.2272 4591915.6414,441168.6025 4591926.0555)))",31,2,0.0222
"MULTIPOLYGON (((479445.3681 4612898.2547,479511.5565 4612939.1053,479525.2596 4612947.3788,479537.67 4612956.9451,479554.4754 4612972.458,479577.7448 4612996.2445,479588.6039 4613008.3961,479608.7707 4613022.3579,479617.3027 4613027.2702,479635.6598 4613046.92,479648.5871 4613060.1058,479680.9057 4613093.2,479699.2626 4613111.2984,479723.0491 4613137.6704,479740.1133 4613153.959,479742.6986 4613156.8029,479757.7254 4613170.4095,479759.1578 4613173.8705,479759.0623 4613176.2775,479759.018 4613177.9263,479758.1788 4613180.164,479756.5005 4613181.2829,479754.4027 4613181.7024,479750.4972 4613182.3954,479761.5095 4613194.9372,479764.8744 4613192.49,479769.4628 4613198.3021,479802.1939 4613230.4213,479804.0293 4613209.3144,479805.8646 4613179.9482,479809.8413 4613129.1693,479813.5121 4613084.5082,479815.3507 4613071.482,479813.5409 4613058.8131,479807.0772 4613021.3236,479801.6477 4612997.5371,479797.5109 4612952.8082,479796.7352 4612936.2613,479795.701 4612920.2312,479787.9446 4612870.3314,479785.3592 4612857.4039,479789.7545 4612813.1923,479723.5661 4612821.2072,479682.7155 4612830.5151,479661.5145 4612835.1689,479652.9825 4612839.0471,479613.9415 4612836.203,479575.4179 4612834.1347,479569.4712 4612826.8954,479565.0759 4612745.4526,479544.1336 4612733.8179,479515.9606 4612713.3874,479512.2773 4612712.6858,479507.7171 4612714.0889,479481.759 4612730.2251,479440.7143 4612756.5701,479430.5061 4612768.2541,479431.5402 4612832.6326,479433.4346 4612871.7488,479433.3597 4612880.3439,479433.2583 4612886.4091,479433.803 4612888.4217,479434.8374 4612890.2934,479436.118 4612891.7218,479440.4558 4612894.635,479445.3681 4612898.2547)))",32,1,0.0913
"MULTIPOLYGON (((479430.8134 4610992.8793,479434.1256 4610994.8712,479434.1127 4610994.6944,479430.8134 4610992.8793)))",33,1,0.0000
"MULTIPOLYGON (((478854.9965 4611754.456,478852.8502 4611753.2389,478851.0455 4611752.2155,478825.6461 4611799.316,478817.2951 4611814.8793,478813.1196 4611824.369,478805.9073 4611841.4506,478798.3155 4611856.2547,478790.3441 4611884.724,478767.1891 4611871.0587,478759.9768 4611867.2628,478752.0054 4611864.9853,478744.4136 4611867.6424,478742.8952 4611874.0955,478742.8952 4611880.9281,478745.5524 4611901.426,478746.6911 4611916.9893,478748.7126 4611943.2777,478742.5842 4611982.8342,478736.4557 4611998.9911,478730.0259 4612014.7211,478719.9518 4612032.4707,478710.3575 4612041.5854,478701.2428 4612054.0581,478669.5814 4612098.1922,478669.2599 4612097.9357,478669.0759 4612098.1922,478623.9823 4612062.2133,478584.6847 4612029.84,478561.1567 4612013.293,478526.2527 4611983.8185,478521.8575 4611978.9061,478505.8089 4611968.8665,478478.6533 4611997.4513,478470.0184 4612007.5254,478460.424 4612018.5589,478451.789 4612031.5113,478440.2758 4612047.342,478423.4856 4612071.328,478408.8928 4612092.2166,478408.491 4612092.0682,478408.3873 4612092.2166,478386.1715 4612084.0111,478373.922986386 4612080.10451394,478570.750006693 4612309.62850624,478574.5086 4612311.4638,478592.071186721 4612334.49156799,478649.093492885 4612400.98643918,478668.1103 4612410.7729,478695.821752139 4612422.81782582,479083.549857121 4612168.88243248,479088.3349 4612161.853,479093.866592252 4612162.1256765,479318.096207701 4612015.27061269,479320.8679 4612010.3531,479325.9948 4611997.3649,479311.2976 4611986.0857,479293.866 4611980.9588,479277.1181 4611971.7303,479260.7119 4611963.869,478993.2019 4611824.1352,478993.0863 4611824.0748,478987.707 4611834.6282,478987.723 4611834.6366,478948.1665 4611913.1925,478947.7669 4611912.9847,478947.661 4611913.1925,478919.8043 4611898.707,478891.9476 4611884.2215,478862.4195 4611869.1789,478848.507 4611862.014,478829.0246 4611806.985,478854.9965 4611754.456)))",34,1,0.2705
"MULTIPOLYGON (((444387.5206 4592853.5322,444391.5183 4592855.6778,444393.4456 4592856.7121,444393.8812 4592856.9458,444393.8839 4592856.9353,444393.9507 4592856.6999,444387.5206 4592853.5322)))",35,2,0.0000
"MULTIPOLYGON (((471867.9999 4608493.5058,471871.1596 4608496.2442,471931.4697 4608538.8878,472001.5269 4608582.445,472033.8141 4608604.3759,472054.2221 4608655.8527,472101.4344 4608705.5019,472166.618 4608720.7317,472183.732 4608727.974,472190.8027 4608733.8662,472213.2213 4608742.9673,472243.0717 4608757.5878,472269.267 4608770.9901,472306.123 4608788.9613,472328.0541 4608744.4903,472350.4679 4608688.7718,472354.7713 4608683.1275,472354.0734 4608682.8528,472309.4738 4608665.2951,472298.5082 4608659.2034,472296.9036 4608658.1037,472296.8878 4608658.0949,472290.9854 4608654.0497,472273.8359 4608645.8011,472272.6425 4608644.898,472272.2155 4608644.6926,472249.6755 4608627.6352,472232.6713 4608613.8128,472217.2877 4608607.8078,472215.9968 4608606.8279,472215.6673 4608606.6993,472077.7433 4608502.0039,472078.5428 4608500.5926,472098.7472 4608484.2174,472179.1447 4608424.9978,472230.2394 4608386.604,472230.9741 4608384.0541,472231.5355 4608377.5404,472230.082 4608378.4551,472138.5952 4608247.0845,472076.4546 4608178.5465,472186.4905 4608097.2155,472185.503 4608088.3898,472181.5432 4608085.6486,472157.4801 4608066.7636,472150.779 4608059.1486,472126.1068 4608062.1946,472107.831 4608068.8957,472107.187333457 4608069.23285867,471948.8318 4608299.70911411,471948.8318 4608301.334,471948.8318 4608311.659,471946.6996 4608328.1071,471942.7398 4608331.7624,471936.0386 4608340.5956,471932.9926 4608351.8656,471925.6823 4608369.5323,471912.2801 4608397.5551,471909.2342 4608402.124,471903.7515 4608403.9517,471898.5733 4608408.5206,471891.8721 4608424.9687,471881.5159 4608445.986,471876.9469 4608457.8651,471866.5907 4608492.2845,471867.9999 4608493.5058)))",36,1,0.1315
"MULTIPOLYGON (((445567.3906 4593387.3669,445567.4983 4593387.1712,445590.5028 4593334.6268,445608.643 4593339.4219,445628.2364 4593298.986,445564.7757 4593280.3365,445559.6976 4593278.8585,445552.2317 4593276.6854,445545.9913 4593280.4821,445540.8893 4593287.3418,445532.3361 4593301.1573,445527.8867 4593300.7865,445517.8753 4593295.9664,445496.8846 4593286.1842,445476.1585 4593273.3828,445449.3365 4593249.6087,445457.8707 4593236.8073,445451.1652 4593231.9306,445424.9528 4593257.3302,445433.0807 4593263.0197,445432.2679 4593274.3988,445404.0937 4593326.3733,445399.8503 4593334.2014,445364.7189 4593399.0102,445370.7777 4593403.5503,445373.8416 4593405.3011,445381.2826 4593410.9912,445390.4743 4593418.8699,445395.6717 4593425.774,445395.9651 4593426.1638,445414.4469 4593391.9079,445414.5624 4593391.9814,445419.1462 4593394.8983,445443.9242 4593407.9281,445468.1656 4593420.1015,445467.8406 4593427.9577,445467.7597 4593429.9123,445493.1618 4593443.0959,445496.9945 4593445.0851,445529.6552 4593455.0254,445530.0882 4593455.1572,445567.3906 4593387.3669)))",37,2,0.0287
"MULTIPOLYGON (((472853.1997 4608180.7663,472852.7062 4608183.7072,472831.4152 4608254.1134,472837.9542 4608264.9626,472840.5432 4608263.3804,472853.9455 4608271.2999,472871.3074 4608284.7022,472895.066 4608308.7653,472906.0315 4608325.8226,472911.2096 4608329.1733,472926.4395 4608339.834,472938.3186 4608326.4319,472963.1431 4608299.6274,472971.6719 4608289.8804,472977.1547 4608281.3516,472972.8902 4608267.0356,472963.1431 4608259.1161,472954.3099 4608247.5415,472918.3677 4608219.214,472886.0803 4608195.76,472853.1997 4608180.7663)))",38,1,0.0119
"MULTIPOLYGON (((472837.9542 4608264.9626,472831.4152 4608254.1134,472852.7062 4608183.7072,472853.1997 4608180.7663,472853.2163 4608180.6673,472848.2395 4608178.3981,472814.8864 4608168.6511,472781.8377 4608158.9039,472757.4699 4608151.8982,472710.2575 4608138.4959,472676.1427 4608129.0535,472663.3497 4608128.4442,472650.5566 4608157.5333,472634.7177 4608196.5216,472615.5281 4608241.1449,472609.6731 4608257.6855,472609.6648 4608257.7089,472630.9102 4608269.1677,472675.0767 4608266.4264,472685.7375 4608268.5585,472734.7774 4608279.5241,472744.5246 4608282.2654,472766.4555 4608288.3575,472794.4783 4608297.4952,472822.1624 4608307.9376,472822.4231 4608307.1203,472822.58 4608306.6279,472835.2944 4608266.7311,472838.0171 4608265.067,472837.9542 4608264.9626)))",39,1,0.0276
"MULTIPOLYGON (((450026.8785 4604772.3266,450045.3424 4604787.3553,450078.5109 4604825.2622,450091.9363 4604848.954,450114.8383 4604886.0711,450132.0281 4604907.5635,450158.8805 4604922.306,450170.4322 4604925.5272,450211.791 4604937.0599,450240.506 4604945.067,450282.2235 4604956.6998,450310.5172 4604964.8691,450311.334 4604948.9446,450304.6799 4604938.0132,450299.9271 4604923.7546,450267.6078 4604891.9106,450208.6724 4604838.6787,450177.7788 4604811.5873,450164.946 4604803.9828,450133.5773 4604788.2984,450086.0489 4604764.0589,450047.0754 4604750.7509,450027.1134 4604772.1387,450026.8785 4604772.3266)))",40,3,0.0224
"MULTIPOLYGON (((450310.5172 4604964.8691,450282.2235 4604956.6998,450240.506 4604945.067,450211.791 4604937.0599,450170.4322 4604925.5272,450158.8805 4604922.306,450132.0281 4604907.5635,450114.8383 4604886.0711,450091.9363 4604848.954,450078.5109 4604825.2622,450045.3424 4604787.3553,450026.8785 4604772.3266,449993.8436 4604798.7547,449971.9805 4604810.6369,449942.9881 4604824.4201,449929.2047 4604832.0246,449900.6877 4604862.9182,449881.2009 4604872.8991,449847.931 4604910.922,449849.832 4604950.3707,449849.832 4604982.69,449915.4216 4605023.5645,449933.9577 4605004.0779,449959.623 4604978.8877,449968.6534 4604980.7889,449985.7637 4604998.3744,449992.893 4605017.3858,450002.3987 4605048.7547,450017.1324 4605071.5683,450024.7372 4605079.6482,450043.7484 4605089.6292,450107.4367 4605109.1159,450133.5773 4605112.4429,450167.3225 4605120.5226,450194.4138 4605121.4732,450217.7028 4605117.1957,450242.4174 4605110.0665,450258.1021 4605095.3327,450274.2617 4605080.1235,450294.699 4605067.7661,450316.5621 4605062.0626,450304.6799 4605044.477,450292.7978 4605014.0588,450279.9652 4604990.7699,450301.8282 4604980.3135,450310.3834 4604967.4809,450310.5172 4604964.8691)))",41,3,0.0877
"MULTIPOLYGON (((478993.2019 4611824.1352,478993.0863 4611823.733,478854.9965 4611754.456,478829.0246 4611806.985,478848.507 4611862.014,478862.4195 4611869.1789,478891.9476 4611884.2215,478919.8043 4611898.707,478947.661 4611913.1925,478947.7669 4611912.9847,478948.1665 4611913.1925,478987.723 4611834.6366,478987.707 4611834.6282,478993.0863 4611824.0748,478993.2019 4611824.1352)))",42,1,0.0145
"MULTIPOLYGON (((451500.8428 4598537.7676,451502.9164 4598547.7559,451502.9808 4598556.6248,451503.2986 4598600.3725,451500.2083 4598649.4777,451496.2676 4598673.1253,451483.6708 4598721.3925,451471.6291 4598755.511,451460.1332 4598787.5968,451452.7041 4598810.0912,451444.3977 4598825.7626,451504.4771 4598844.4244,451556.819308888 4598861.61370995,451678.703956096 4598564.86065751,451610.2524 4598554.2781,451572.7476 4598547.9281,451560.6429 4598547.5313,451544.371 4598545.1499,451518.7725 4598540.7843,451504.0881 4598538.0062,451500.8428 4598537.7676)))",43,3,0.0413
"MULTIPOLYGON (((451584.7062 4598870.0743,451600.2637 4598840.256,451620.7363 4598793.4615,451631.9474 4598770.0643,451642.1837 4598746.667,451652.8058 4598725.2034,451718.3751 4598585.1661,451724.2874 4598571.9298,451724.0475 4598571.8679,451717.6792 4598570.8862,451678.703956096 4598564.86065751,451556.819308888 4598861.61370995,451570.9291 4598866.2474,451584.7062 4598870.0743)))",44,3,0.0121
"MULTIPOLYGON (((445458.0761 4593565.7737,445391.5414 4593664.524,445350.8506 4593633.0909,445341.5901 4593637.3506,445334.2963 4593652.9802,445321.7926 4593677.9876,445300.9531 4593725.3974,445289.5234 4593755.7453,445288.0194 4593757.7506,445296.0141 4593762.7402,445304.125 4593762.0,445318.9836 4593765.3816,445330.7104 4593768.535,445354.8538 4593776.2215,445401.5639 4593792.0872,445439.5696 4593802.976,445454.5312 4593763.0,445471.4687 4593729.0,445493.2084 4593690.1396,445502.9875 4593677.0429,445519.370213821 4593663.13908083,445461.973513767 4593570.40752953,445458.0761 4593565.7737)))",45,2,0.0276
"MULTIPOLYGON (((451584.0355 4598871.3598,451582.7122 4598872.849,451582.2739 4598873.7367,451580.4709 4598877.3885,451581.2534 4598877.7891,451582.7157 4598873.8895,451584.0355 4598871.3598)))",46,3,0.0000
"MULTIPOLYGON (((451580.4709 4598877.3885,451582.2739 4598873.7367,451582.7122 4598872.849,451584.0355 4598871.3598,451585.0845 4598870.1794,451584.7062 4598870.0743,451570.9291 4598866.2474,451556.819308888 4598861.61370995,451403.122197466 4599235.8207,451413.3258 4599216.7517,451425.5289 4599191.7908,451464.6344 4599113.5799,451514.7515 4599012.0453,451535.268 4598970.676,451572.9376 4598892.6462,451580.4709 4598877.3885)))",47,3,0.0060
"MULTIPOLYGON (((441393.2597 4593462.0911,441394.2701 4593461.24,441387.1999 4593456.0999,441383.3801 4593451.18,441382.9307 4593450.792,441379.7176 4593451.8419,441373.2194 4593453.9651,441351.9011 4593491.2721,441327.0298 4593479.4285,441312.2275 4593519.364,441323.4172 4593525.4617,441392.2667 4593570.8381,441407.2693 4593545.752,441409.0459 4593534.2047,441406.6772 4593520.8807,441402.2357 4593496.0094,441396.3142 4593476.1716,441393.2597 4593462.0911)))",48,2,0.0064
"MULTIPOLYGON (((441382.9307 4593450.792,441383.3801 4593451.18,441387.1999 4593456.0999,441394.2701 4593461.24,441393.2597 4593462.0911,441432.1405 4593487.4229,441442.7996 4593490.9759,441481.5869 4593430.8704,441498.7601 4593400.3735,441503.7934 4593392.3792,441499.9444 4593382.9044,441473.8886 4593356.5527,441460.8609 4593343.821,441448.1292 4593354.1841,441408.1575 4593415.4739,441388.912 4593442.4178,441385.0751 4593450.0912,441382.9307 4593450.792)))",49,2,0.0089
"MULTIPOLYGON (((457335.4819 4601037.5635,457322.3183 4601030.581,457306.3539 4601018.6077,457296.1286 4601011.2812,457285.4704 4600999.7348,457265.3025 4600980.4071,457248.7679 4600963.8725,457231.6631 4600945.0573,457172.0904 4601044.5282,457157.8014 4601063.1798,457154.0457 4601080.5734,457131.4633 4601125.6829,457163.7887 4601143.6211,457197.5398 4601160.4967,457238.3964 4601184.4777,457269.483 4601201.3533,457285.4704 4601156.0557,457299.6813 4601120.5282,457306.7868 4601100.9881,457317.4451 4601073.4543,457335.4819 4601037.5635)))",50,3,0.0275
"MULTIPOLYGON (((445288.0194 4593757.7506,445284.2409 4593762.1448,445243.0312 4593769.9617,445243.0001 4593769.9863,445232.1391 4593778.5972,445228.7617 4593780.0152,445214.2173 4593786.0208,445199.5897 4593795.0224,445180.4485 4593812.0267,445163.7582 4593833.3748,445155.9953 4593845.4074,445144.5938 4593861.0,445139.6747 4593864.4995,445129.5995 4593876.4274,445127.2779 4593879.176,445159.106 4593878.3997,445171.5267 4593876.8471,445178.1252 4593886.1626,445190.5459 4593899.7478,445211.894 4593913.333,445239.8407 4593928.0827,445253.8139 4593935.8455,445272.0567 4593939.7271,445304.2729 4593940.1152,445326.0092 4593939.7271,445345.8047 4593942.0559,445367.5409 4593948.2662,445387.3364 4593954.8648,445409.4608 4593965.7328,445419.1644 4593971.9431,445433.1378 4593983.5876,445445.5583 4593992.9031,445454.0976 4593998.7253,445470.0117 4594005.3238,445479.7153 4594008.0409,445500.6753 4594016.192,445512.7078 4594021.2379,445524.3522 4594027.8364,445541.0427 4594035.9874,445567.8246 4594055.7829,445588.7845 4594068.5916,445605.4749 4594077.131,445629.1519 4594088.3872,445674.177 4594106.2419,445704.4524 4594120.9916,445733.1752 4594132.248,445742.4907 4594134.9649,445749.8656 4594134.9649,445758.4047 4594134.1885,445764.6151 4594132.636,445771.2137 4594127.9782,445782.8581 4594118.6628,445794.3412 4594106.5597,445800.7113 4594093.1679,445790.744 4594090.2979,445786.3675 4594087.8146,445761.8992 4594068.069,445739.1899 4594050.6519,445730.5882 4594041.9173,445730.5882 4594036.0298,445732.4015 4594024.4927,445729.942865468 4594003.34554967,445519.370213821 4593663.13908083,445502.9875 4593677.0429,445493.2084 4593690.1396,445471.4687 4593729.0,445454.5312 4593763.0,445439.5696 4593802.976,445401.5639 4593792.0872,445354.8538 4593776.2215,445330.7104 4593768.535,445318.9836 4593765.3816,445304.125 4593762.0,445296.0141 4593762.7402,445288.0194 4593757.7506)))",51,2,0.1230
