WKT,fid,Category,AreaKm2
"MULTIPOLYGON (((459488.7583 4603394.3462,459541.9948 4603421.3938,459553.5863 4603401.2154,459586.2153 4603343.6859,459595.0716 4603337.824,459590.5303 4603327.3592,459580.4256 4603319.013,459548.0314 4603292.2565,459529.5442 4603317.4969,459507.4339 4603348.1937,459484.2503 4603380.3932,459478.4544 4603387.6917,459488.7583 4603394.3462)))",11,3,0.0074
"MULTIPOLYGON (((454161.6489 4601149.6267,454164.4808 4601152.2564,454166.5035 4601155.4928,454167.3258 4601160.1456,454166.5035 4601165.4045,454163.8739 4601172.0797,454156.1894 4601180.1729,454145.6688 4601186.2392,454134.3154 4601197.3484,454150.2671 4601220.3896,454166.0815 4601240.3987,454185.1244 4601257.0194,454199.8944 4601267.6538,454212.7403 4601273.3709,454231.2069 4601277.6974,454246.9567 4601279.592,454267.2458 4601277.6974,454296.7859 4601272.3802,454297.953 4601252.2819,454297.0109 4601240.9766,454286.6476 4601224.0185,454267.8054 4601176.9129,454244.859 4601112.9716,454254.1068 4601103.7238,454258.4587 4601098.5559,454266.4055 4601086.9034,454269.3385 4601081.4203,454272.5615 4601075.52,454285.3862 4601040.0771,454301.9778 4600996.0141,454325.9133 4600933.4554,454334.0285 4600911.273,454335.4055 4600903.9291,454335.635 4600898.1918,454333.7533 4600890.5104,454328.4059 4600878.5699,454321.7505 4600870.9966,454313.9689 4600866.9575,454309.9315 4600864.8002,454303.9646 4600863.4232,454298.914 4600862.9848,454290.4161 4600862.247,454222.5555 4600855.937,454202.1559 4600856.209,454194.0002 4600860.5651,454189.6442 4600864.9128,454184.8994 4600875.4366,454169.8256 4600929.137,454154.9736 4600998.9289,454150.3212 4601054.3534,454148.2984 4601114.6325,454149.1076 4601130.8148,454151.9254 4601137.3441,454161.6489 4601149.6267)))",12,3,0.0543
"MULTIPOLYGON (((449313.7844 4602335.6405,449502.6404 4602485.3148,449522.2312 4602451.6186,449575.5183 4602360.7169,449609.2148 4602273.7335,449638.9929 4602193.019,449671.9055 4602125.6265,449695.4144 4602071.5557,449801.9888 4601847.4361,449879.5686 4601689.9257,449904.645 4601644.4749,449953.2303 4601555.9242,450016.7046 4601443.0808,450033.1609 4601444.648,450051.1846 4601443.0808,450056.6701 4601434.4607,450057.4537 4601426.6245,450050.4011 4601418.0044,450026.8919 4601410.9517,449956.3648 4601418.7881,449911.6976 4601430.5426,449869.3815 4601453.2679,449822.3634 4601504.2043,449753.4035 4601583.3514,449695.4144 4601634.2876,449676.6072 4601653.8785,449656.2327 4601680.522,449638.2092 4601711.8675,449620.1856 4601740.8619,449595.1094 4601767.5055,449556.7112 4601812.1726,449542.6057 4601836.4653,449531.6348 4601863.1089,449520.664 4601913.2615,449510.4768 4601963.4141,449491.6695 4602002.596,449468.1604 4602033.1577,449432.8969 4602062.1522,449390.5806 4602096.632,449356.8844 4602136.5975,449310.65 4602213.3936,449262.8481 4602283.1371,449258.93 4602290.1898,449313.7844 4602335.6405)))",13,3,0.2477
"MULTIPOLYGON (((464395.5373 4607899.3009,464366.4015 4607956.7853,464366.7952 4607963.4787,464396.7185 4608001.6703,464424.6732 4607991.0397,464443.9659 4607983.1651,464450.2655 4607999.308,464441.6035 4608007.1826,464451.4467 4608020.5693,464447.5096 4608038.6808,464448.6908 4608057.186,464452.628 4608069.3916,464458.9276 4608091.8341,464462.4712 4608095.3777,464475.4642 4608095.7715,464488.0636 4608084.747,464488.0636 4608062.6982,464491.6071 4608050.4926,464497.1192 4608044.9804,464506.5689 4608036.7122,464514.4433 4608026.4752,464513.6558 4608006.7888,464516.8057 4607994.9769,464520.3493 4607988.8741,464527.83 4607978.6371,464538.8544 4607967.2191,464541.2169 4607963.0849,464541.6106 4607958.9508,464539.445 4607956.9821,464532.358 4607955.2103,464525.074 4607956.9821,464517.79 4607934.7365,464503.2221 4607895.3637,464495.1505 4607877.2522,464489.8353 4607872.5275,464463.8491 4607883.7486,464441.6035 4607893.5919,464432.5479 4607895.7575,464410.8927 4607896.9387,464402.4276 4607897.1354,464398.8841 4607897.726,464395.5373 4607899.3009)))",14,1,0.0195
"MULTIPOLYGON (((451456.6919 4598550.508,451400.9581 4598608.5837,451351.3128 4598662.9126,451305.4142 4598710.2161,451259.5158 4598763.6082,451278.2499 4598768.2915,451367.2367 4598798.7345,451390.186 4598802.013,451431.4009 4598722.8616,451449.1983 4598644.6468,451453.8818 4598637.6216,451457.6287 4598627.7862,451459.5019 4598590.7864,451456.6919 4598550.508)))",15,3,0.0218
"MULTIPOLYGON (((451907.0377 4597039.7178,451925.3632 4597027.031,451931.9415 4597014.3442,451939.4598 4596973.464,451945.0983 4596946.2108,451950.737 4596928.825,451986.4483 4596831.5589,451998.6652 4596791.6185,451994.9062 4596777.0522,451988.7977 4596771.8834,451946.508 4596743.2205,451886.3628 4596706.5694,451805.5425 4596659.1111,451775.9398 4596638.4359,451750.0962 4596634.6771,451735.0597 4596637.4964,451728.4814 4596641.7254,451652.36 4596759.1965,451641.5527 4596776.5822,451641.5527 4596786.4499,451645.7817 4596796.7874,451676.3242 4596815.1127,451699.6616 4596834.139,451703.8196 4596843.3818,451706.1946 4596851.7714,451712.1431 4596861.8839,451719.8762 4596870.2118,451735.7456 4596881.6435,451745.3972 4596895.933,451793.3255 4596937.7528,451867.5673 4597005.4162,451907.0377 4597039.7178)))",16,3,0.0792
"MULTIPOLYGON (((450104.3833 4597019.7942,450132.435 4597057.8646,450187.0361 4597135.0072,450226.6092 4597194.6175,450243.6408 4597225.6749,450252.6574 4597229.6823,450269.6889 4597233.1888,450295.2363 4597245.211,450311.266 4597250.2203,450328.7983 4597255.7306,450345.8298 4597265.749,450363.3621 4597266.25,450373.3807 4597263.7453,450394.9206 4597266.25,450438.5012 4597255.7306,450470.0595 4597242.7065,450494.1041 4597226.6769,450515.1429 4597211.649,450519.6513 4597196.6212,450496.1077 4597167.0666,450468.5567 4597140.5174,450438.0002 4597108.4581,450399.4289 4597068.384,450376.3862 4597043.8386,450350.3381 4597021.297,450332.8056 4597008.2728,450302.2491 4596984.7292,450277.2028 4596968.1987,450257.6667 4596960.6848,450244.1417 4596964.1913,450226.1084 4596966.6961,450197.5555 4596969.7015,450176.5166 4596970.7034,450161.4887 4596970.2024,450134.4388 4596962.1876,450118.9101 4596957.1783,450107.3888 4596962.6886,450102.3795 4596969.7015,450098.372 4596987.7349,450097.3702 4597006.2692,450098.1218 4597011.0279,450104.3833 4597019.7942)))",17,3,0.0737
"MULTIPOLYGON (((454464.4668 4599219.7266,454405.5302 4599194.8856,454376.6427 4599282.6835,454469.6683 4599326.5016,454434.0669 4599424.4906,454437.6405 4599426.428,454486.7797 4599455.0509,454494.8138 4599459.3098,454540.1291 4599464.007,454549.9509 4599414.4709,454566.6054 4599339.3126,454581.1247 4599273.122,454585.4064 4599267.5616,454584.751 4599267.2838,454502.3596 4599232.3574,454501.7093 4599232.1407,454464.4668 4599219.7266)))",18,3,0.0305
"MULTIPOLYGON (((454198.6997 4599577.7333,454175.8676 4599566.9228,454162.3815 4599597.6985,454131.8828 4599666.4222,454157.078 4599690.3362,454169.889 4599698.0227,454231.7595 4599694.1795,454248.0365 4599690.3362,454253.2465 4599668.7702,454263.5054 4599630.7806,454268.9481 4599615.3819,454269.9286 4599612.6078,454269.9703 4599612.4899,454264.2143 4599609.6263,454263.5968 4599609.3257,454198.6997 4599577.7333)))",19,3,0.0120
"MULTIPOLYGON (((446756.6702 4598467.0282,446762.2955 4598471.9197,446770.6109 4598476.5666,446781.3721 4598482.1918,446793.8453 4598490.2626,446805.8293 4598501.0238,446825.1505 4598525.2364,446833.2214 4598537.7096,446835.4225 4598547.7371,446834.4443 4598557.52,446832.7323 4598563.8789,446829.5528 4598569.9932,446821.9711 4598575.3737,446818.0579 4598582.7109,446815.3677 4598590.0482,446814.1447 4598595.9178,446812.1882 4598603.9887,446811.9436 4598610.8367,446816.1014 4598613.5269,446833.9551 4598595.6732,446884.8262 4598544.313,446895.3427 4598533.7963,446927.137 4598497.1106,446936.92 4598484.8822,446945.9692 4598481.2135,446960.3989 4598509.8283,446969.9372 4598528.9051,446980.2091 4598549.6936,446987.3018 4598573.1727,446989.7475 4598595.1841,446991.2149 4598601.0538,446994.8836 4598605.4561,447000.2641 4598609.6139,447018.8516 4598615.7282,447029.6128 4598619.1521,447049.1785 4598632.1144,447061.6517 4598641.1636,447072.6575 4598632.359,447098.8267 4598614.7498,447086.8427 4598602.7659,447076.8152 4598589.8035,447064.0975 4598576.3521,447049.4231 4598562.656,447041.8414 4598548.7153,447031.0802 4598531.1061,447016.1614 4598507.3827,447009.3132 4598500.0455,446997.0846 4598478.2786,446990.9705 4598477.5449,446977.2744 4598473.1427,446967.0023 4598467.7621,446963.8229 4598462.626,446951.1052 4598459.4466,446944.2572 4598467.5175,446941.3223 4598468.2512,446931.5393 4598432.0544,446919.3107 4598407.3527,446891.1849 4598374.3355,446877.9781 4598346.6988,446874.5541 4598318.8175,446870.6409 4598312.2141,446863.0593 4598245.2014,446860.1243 4598225.1466,446856.7002 4598232.7283,446851.5643 4598252.0494,446844.7162 4598270.6369,446824.6614 4598310.7468,446811.9436 4598333.9811,446786.019 4598369.9332,446764.9858 4598400.0155,446744.1972 4598429.6088,446745.4201 4598443.5493,446749.3331 4598457.0009,446756.6702 4598467.0282)))",20,2,0.0434
